recipe_id,recipe_name,location
1714414,"Chicken fajitas, smoky dressed aubergines & peppers",Mexico
2159890,Chocolate and raspberry terrine,
909867,Courgette tart with roasted tomato coulis,
769307,Radicchio risotto,
1714997,"Sag aloo korma, sweet potatoes, chard & chickpeas",India
909808,Smoked salmon cheesecake with lemon vodka,
1715811,"Super leek & potato soup, herb, Parmesan & almond toasts",
1714989,"Super salad platter, avo, sweet potatoes, broccoli & beets",
1716074,"Super-quick batch pesto, nuts, Parmesan & loadsa basil",
2023433,Sweet and salty cheesecake with cherries,
903130,Wholemeal loaf,
1531584,Crunchy chicken cutlets,
2023151,Hot charred cherry tomatoes with cold yoghurt,
1531561,Indian-spiced cod,India
1532408,Leek pasta bake,
1715304,"Persian veggie pilaf, saffron, blueberries & borlotti beans",Iran
1532453,Quick coconutty dal,
1532409,Slow-cooker chickpeas with cumin and spinach,
1164089,Chicken & chorizo paella,Spain
1635114,Red beet gnocchi with Parmesan and parsley sauce (Gnocchi aux betteraves rouges avec sauce au Parmesan et au persil),France
1635114,Red beet gnocchi with Parmesan and parsley sauce (Gnocchi aux betteraves rouges avec sauce au Parmesan et au persil),Italy
1048199,Aubergine lasagne,Italy
769694,Little custards flavored with cardamom and vanilla (Petits pots de crème),France
1635112,"Pea risotto with lemon, basil oil, and steamed lobster (Risotto aux petits pois et au citron avec huile au basilic et homard vapeur)",France
1531586,Strapatsada,Greece
937764,"Veggie chilli, crunchy tortilla & avocado salad",Chile
937764,"Veggie chilli, crunchy tortilla & avocado salad",United States of America
377500,White chocolate and raspberry tartlets,
1855630,"""Anzac"" biscuits (aka honey, oat and raisin cookies)",Australia
1855630,"""Anzac"" biscuits (aka honey, oat and raisin cookies)",New Zealand
377465,Apple and olive oil cake with maple icing,
377464,Cheddar and caraway cheese straws,
1666917,Chicken & black bean chowder,United States of America
1666917,Chicken & black bean chowder,Brazil
1855629,Chocolate and peanut butter s'mores,
1852863,Comforting sausage bake,
1524554,"Cosy squash soup, chickpea salad flatbreads",
1524735,"Delicious squash daal, special fried eggs & poppadoms",India
1852578,Easy sausage carbonara,Italy
1852598,Hot-smoked salmon frittata,
1062080,Incredible Sicilian aubergine stew (Caponata),Italy
1852968,Mango rice pudding,
25106,Mughlai chicken,India
1852726,One-pan fabulous fish,
36483,Pizza rustica,Italy
2159990,Spicy chorizo and squash parcels,
1524544,"Super green soup, chickpeas, veg & smoky chorizo",
1524474,"Sweet potato muffins, chilli, cheese & seeds",
1855730,"Tin cake pan part 1 (butternut, honey and almond)",
928856,Baby spinach salad with dates & almonds,Israel
928929,Basmati rice & orzo,Israel
929144,Beef meatballs with broad beans & lemon,Israel
929169,Cod cakes in tomato sauce,Israel
